"Id","poradi","obdobi","datum","schuze","url","cisloHlasovani","celeJmeno","narozeni","HsProcessType","OsobaId","funkce","tema","text","pocetSlov","politiciZminky","temata"
2010_19_00925,925,2010,2011-06-14,19,http://www.psp.cz/eknih/2010ps/stenprot/019schuz/s019156.htm,,Miroslava Němcová,,person,miroslava-nemcova-18,Předsedkyně PSP,125. Návrh na zkrácení zákonné lhůty pro projednání sněmovního tisku 326 ve výborech Poslanecké sněmovny,"Děkuji paní poslankyni Putnové. Prosím dalšího vystupujícího. Je jím pan poslanec Walter Bartoš. Faktická poznámka pan kolega Bém? Ne, prosím, slovo má Walter Bartoš.
",24,
2017_50_00385,385,2017,2020-06-04,50,http://www.psp.cz/eknih/2017ps/stenprot/050schuz/s050080.htm,,Radek Vondráček,,person,radek-vondracek,Předseda PSP,3. Informace vlády o&nbsp;nákupech zdravotnického materiálu a podílů v&nbsp;soukromých firmách či jiných zvažovaných intervencích,"Děkuji. Mám zde dvě přihlášky s přednostním právem. Nejdříve pan předseda Bartoš. Ale pan předseda Stanjura má faktickou. (Posl. Bartoš míří k řečnickému pultu.) Dobře.
",25,
2017_1_00243,243,2017,2017-11-22,1,http://www.psp.cz/eknih/2017ps/stenprot/001schuz/s001035.htm,,Jan Hamáček,,person,jan-hamacek,Předsedající,9. Návrh na volbu předsedy Poslanecké sněmovny &nbsp;,"Děkuji. Pan poslanec Bartoš stáhl? (Poslanec Bartoš hovoří z lavice: Moje otázka byla na pořadí.) Ale stáhl jste faktickou poznámku, to je důležité.
Pan předseda Kalousek.
",26,
2002_35_00020,20,2002,2004-09-21,35,http://www.psp.cz/eknih/2002ps/stenprot/035schuz/s035004.htm,,Lubomír Zaorálek,,person,lubomir-zaoralek,Předseda PSP,Zahájení schůze,"Dneska tedy bychom tím začali? (Ano.)
Po panu poslanci Vidímovi je tady pan poslanec Walter Bartoš přihlášený jako další a pak poslanec Josef Hojdar. Nyní Walter Bartoš.
",27,
2017_102_00014,14,2017,2021-05-12,102,http://www.psp.cz/eknih/2017ps/stenprot/102schuz/s102004.htm,,Radek Vondráček,,person,,Předseda PSP,Zahájení schůze,"Já vám děkuji. Nyní pan předseda Bartoš, připraví se pan předseda Stanjura. Tak ruší svoji přihlášku, vy jste se tam v zápalu hlásil. Tak pan předseda Bartoš.
",27,
2002_8_01795,1795,2002,2002-12-17,8,http://www.psp.cz/eknih/2002ps/stenprot/008schuz/s008281.htm,,Miroslav Kalousek,,person,miroslav-kalousek,Poslanec,bod 60,"B52 - již bylo hlasováno. B53 - poslanec Bartoš. Návrh je podle názoru zpravodaje nehlasovatelný, neboť upravuje ukazatele stanovené návrhem zákona v prvním čtení.
Pan poslanec Bartoš pravděpodobně uplatní námitku.
",30,
2006_60_00306,306,2006,2009-09-09,60,http://www.psp.cz/eknih/2006ps/stenprot/060schuz/s060046.htm,,Jan Kasal,,person,jan-kasal,Místopředseda PSP,Pokračování schůze Poslanecké sněmovny 9. září 2009 v&nbsp;9.03 hodin Přítomno: 193 poslanců &nbsp;,"Já děkuji paní poslankyni Ladislavě Zelenkové a táži se zpravodajů, kterými jsou Petr Braný a Walter Bartoš, zdali hodlají vystoupit. Petr Braný nikolivěk, Walter Bartoš ano, takže má slovo.
",29,
1998_43_02026,2026,1998,2001-12-12,43,http://www.psp.cz/eknih/1998ps/stenprot/043schuz/s043361.htm,,Petra Buzková,,person,petra-buzkova,Místopředsedkyně PSP,143 - Návrh na usnesení Poslanecké sněmovny k&nbsp;Informaci předsedy Poslanecké sněmovny o jeho vystoupení v&nbsp;Evropském parlamentu dne 5.&nbsp;12. 2001.,"Děkuji. Otevírám rozpravu, do které jsou v tuto chvíli přihlášeni poslanci Bartoš, Brousek, Šojdrová a Zvěřina. Jako první má slovo pan poslanec Walter Bartoš, připraví se pan poslanec Brousek.
",29,
2017_27_02658,2658,2017,2019-03-27,27,http://www.psp.cz/eknih/2017ps/stenprot/027schuz/s027332.htm,,Vojtěch Pikal,,person,vojtech-pikal,Místopředseda PSP,151. Kontrola plnění usnesení Poslanecké sněmovny č.&nbsp;66 ze dne 19. 10. 2017 ve věci zvýšení platů učitelů,"Děkuji. Já tuto námitku asi budu brát jako bezprostřední. Hlásil se mi pan předseda Bartoš a poté pan předseda Stanjura. Pan předseda Bartoš k pořadu, nebo k této věci? K této věci, tak prosím.
",34,
2017_104_00965,965,2017,2021-06-01,104,http://www.psp.cz/eknih/2017ps/stenprot/104schuz/s104138.htm,,Tomio Okamura,,person,tomio-okamura,Místopředseda PSP,Slib poslance,"Vážené poslankyně, vážení poslanci, uplynula doba pro pauzu na poradu poslaneckého klubu ČSSD a máme tady pevně zařazený bod na 17.30 hodin. (O slovo se hlásí poslanec Bartoš.) Ano, předseda Pirátů Ivan Bartoš, prosím.
",34,
2002_35_00928,928,2002,2004-09-24,35,http://www.psp.cz/eknih/2002ps/stenprot/035schuz/s035148.htm,,Jan Kasal,,person,jan-kasal,Místopředseda PSP,bod 70,"Děkuji panu poslanci Bičíkovi. O slovo se přihlásil pan poslanec Walter Bartoš. Já totiž nevím, jestli pan poslanec Eduard Zeman čeká u mikrofonu, aby se ujal slova. Není tomu tak. Takže Walter Bartoš bude hovořit.
",35,
2002_51_04150,4150,2002,2005-12-14,51,http://www.psp.cz/eknih/2002ps/stenprot/051schuz/s051485.htm,,Vojtěch Filip,,person,vojtech-filip,Místopředseda PSP,bodu číslo 48,"Já děkuji paní poslankyni Aleně Páralové. Ptám se, jestli má někdo další zájem vystoupit v obecné rozpravě. Ano. Pan kolega Walter Bartoš. Předseda výboru pro školství, mládež a tělovýchovu Walter Bartoš. Prosím, pane poslanče, máte slovo.
",36,
2017_26_03027,3027,2017,2019-02-13,26,http://www.psp.cz/eknih/2017ps/stenprot/026schuz/s026361.htm,,Tomio Okamura,,person,tomio-okamura,Místopředseda PSP,172. Návrh na volbu náhradníka Správní rady Všeobecné zdravotní pojišťovny České republiky,"Přeji hezké odpoledne. Zahajuji tedy další část jednání Poslanecké sněmovny. Pan předseda tam Bartoš něco ukazoval. (Informace mimo mikrofon.) Takže pan předseda Ivan Bartoš má náhradní kartu číslo 10.
Budeme pokračovat ve včerejším přerušeném jednání ohledně bodu
",37,
